k6ps14_1.PV;k6t17.PV;k6t15.PV;k6t16.PV;k6p8.PV;k6l2.PV;k6p13.PV;k6t2_1.PV;k6f6x.PV;k0p102_1.PV;k6f6.PV;k6t6.PV;k6t14.PV;k6t3.PV
4.01;152.74;98.36;104.06;4.01;186.8;3.98;407.83;13.04;3.96;13.51;203.71;385.63;266.46
4.12;152.24;99.46;104.41;4.11;183.54;4.04;420.07;19.38;3.99;20.06;200.99;387.26;278.09
4.11;152.25;99.73;104.68;4.11;182.15;4.04;420;19.36;3.99;20.03;200.69;387.2;278
4.11;151.86;97.75;104.12;4.11;182.29;4.04;419.56;19.32;3.98;19.99;200.37;386.8;277.66
4.11;151.82;98.18;103.96;4.1;184.06;4.04;419.44;19.36;3.99;20.04;200.12;386.55;277.53
4.1;152.1;99.6;104.26;4.1;183.87;4.03;419.58;19.5;3.98;20.16;200.24;386.64;277.78
4.09;150.96;98.61;102.93;4.08;184.08;4.02;419.58;19.43;3.97;20.05;199.63;387.09;277.59
4.1;150.94;99.25;103.07;4.09;183.74;4.02;418.88;19.53;3.98;20.18;199.44;386.11;277.35
4.11;152.02;100.15;104.43;4.1;184.49;4.03;419.35;19.64;3.99;20.31;200.13;386.1;277.84
4.11;151.96;100.15;104.44;4.1;182.82;4.03;419.63;19.66;3.99;20.32;200.26;386.39;277.89
4.12;151.82;99.94;104.33;4.11;184.84;4.05;419.64;19.66;4;20.36;200.04;386.05;278.01
4.12;151.68;99.66;104;4.11;184.54;4.04;419.65;19.74;4;20.44;199.65;385.85;277.93
4.13;151.86;99.89;104.35;4.13;184.1;4.06;420.03;19.71;4.02;20.44;200.11;386.17;278.36
4.14;151.79;99.99;104.43;4.13;184.66;4.06;419.78;19.72;4.02;20.46;199.86;385.64;278.12
4.14;151.9;99.99;104.46;4.13;183.87;4.06;420.3;19.71;4.02;20.43;200.06;386.34;278.42
4.13;152.07;100.04;104.46;4.12;184.11;4.05;420.17;19.73;4.01;20.45;200.16;386.24;278.33
4.13;152.1;100.19;104.57;4.12;184.18;4.05;419.74;19.73;4.01;20.44;200.15;385.71;278.05
4.13;152.19;100.23;104.63;4.12;183.07;4.05;420.07;19.72;4.01;20.44;200.12;385.89;278.17
4.13;151.64;99.79;103.93;4.12;184.16;4.05;420.19;19.72;4.01;20.43;200.01;386.12;278.23
4.12;151.37;99.91;103.65;4.11;184.83;4.04;420.07;19.76;4;20.45;199.49;385.93;278.11
4.12;152.05;100.6;104.53;4.12;184.02;4.05;419.85;19.73;4.01;20.44;200.56;386.15;278.17
4.12;151.4;100.05;103.72;4.11;184.13;4.04;420.25;19.67;4;20.36;199.52;386.39;278
4.11;151.75;100.43;103.93;4.11;183.75;4.04;420.11;19.65;3.99;20.32;200.06;386.66;278.05
4.1;151.35;99.92;103.53;4.1;183.56;4.03;420.03;19.59;3.98;20.24;200.05;386.89;277.84
4.11;152.49;100.04;104.67;4.1;183.46;4.03;420.33;19.67;3.98;20.33;200.6;386.9;278.11
4.1;151.03;98.73;103.04;4.09;183.62;4.02;420.2;19.53;3.97;20.17;200.03;387.22;277.81
4.1;152.38;100.14;104.74;4.1;183.14;4.03;419.68;19.6;3.98;20.25;200.51;386.29;277.7
4.1;151.21;99.61;103.58;4.09;183.18;4.02;420.08;19.68;3.97;20.32;199.82;386.55;277.77
4.09;152.22;99.39;104.36;4.09;182.69;4.02;420.17;19.65;3.96;20.27;200.54;386.96;277.87
4.1;151.22;99.22;103.35;4.09;183.47;4.02;419.77;19.7;3.97;20.34;199.61;386.03;277.65
4.1;152;100;104.12;4.1;183.73;4.03;419.7;19.7;3.98;20.36;200.2;386.05;277.7
4.11;151.68;99.48;103.9;4.1;184;4.03;420.19;19.75;3.98;20.4;200.17;386.4;277.95
4.11;151.48;99.43;104.02;4.1;183.13;4.03;419.94;19.64;3.98;20.31;199.92;386.19;277.8
4.13;151.59;99.03;103.86;4.12;183.62;4.05;420.66;19.62;4;20.32;200.13;386.88;278.35
4.13;151.12;98.4;103.42;4.12;183.34;4.05;420.24;19.64;4;20.35;199.63;386.24;277.94
4.11;151.52;98.85;103.9;4.11;183.1;4.04;420.42;19.69;3.98;20.36;199.96;386.37;277.99
4.12;152.02;98.76;104.03;4.11;183.09;4.04;420.43;19.75;3.99;20.45;200.44;386.49;278.15
4.12;151.64;98.6;103.87;4.11;184.13;4.04;419.96;19.65;3.99;20.35;200.11;386.07;277.9
4.13;151.47;98.51;103.86;4.12;183.33;4.05;420.35;19.63;4;20.34;200.02;386.27;278.07
